scenario,complexity,approach,time_seconds,matches_found,false_positives_est,accuracy
find_malloc_calls,simple,grep,0.037272,5,0,100.00%
find_malloc_calls,simple,ast-grep,0.034728,1,0,100.00%
find_free_calls,simple,grep,0.024787,59,8,86.44%
find_free_calls,simple,ast-grep,0.026815,1,0,100.00%
find_printf_calls,simple,grep,0.028713,1,0,100.00%
find_printf_calls,simple,ast-grep,0.032083,1,0,100.00%
find_return_statements,simple,grep,0.024898,985,147,85.08%
find_return_statements,simple,ast-grep,0.027479,1,0,100.00%
find_if_statements,simple,grep,0.024034,1269,190,85.03%
find_if_statements,simple,ast-grep,0.033077,1,0,100.00%
find_for_loops,simple,grep,0.026090,120,18,85.00%
find_for_loops,simple,ast-grep,0.030256,1,0,100.00%
find_while_loops,simple,grep,0.021353,59,8,86.44%
find_while_loops,simple,ast-grep,0.028321,1,0,100.00%
find_struct_definitions,simple,grep,0.027127,47,7,85.11%
find_struct_definitions,simple,ast-grep,0.032038,1,0,100.00%
find_typedef,simple,grep,0.027245,2,0,100.00%
find_typedef,simple,ast-grep,0.031921,1,0,100.00%
find_include_directives,simple,grep,0.028357,1076,161,85.04%
find_include_directives,simple,ast-grep,0.033207,1,0,100.00%
find_arrow_operator,medium,grep,0.016179,0,0,0.00%
find_arrow_operator,medium,ast-grep,0.028785,1,0,100.00%
find_dot_operator,medium,grep,0.024058,4188,1047,75.00%
find_dot_operator,medium,ast-grep,0.029622,1,0,100.00%
find_null_checks,medium,grep,0.027006,3,0,100.00%
find_null_checks,medium,ast-grep,0.028986,1,0,100.00%
find_not_null_checks,medium,grep,0.024018,0,0,0.00%
find_not_null_checks,medium,ast-grep,0.027753,1,0,100.00%
find_sizeof_calls,medium,grep,0.025104,61,15,75.41%
find_sizeof_calls,medium,ast-grep,0.029452,1,0,100.00%
find_cast_expressions,medium,grep,0.033337,69,17,75.36%
find_cast_expressions,medium,ast-grep,0.032738,1,0,100.00%
find_function_pointers,medium,grep,0.028288,1,0,100.00%
find_function_pointers,medium,ast-grep,0.031581,1,0,100.00%
find_static_functions,medium,grep,0.028317,104,26,75.00%
find_static_functions,medium,ast-grep,0.032575,1,0,100.00%
find_const_variables,medium,grep,0.023957,1203,300,75.06%
find_const_variables,medium,ast-grep,0.033676,1,0,100.00%
find_switch_statements,medium,grep,0.024154,25,6,76.00%
find_switch_statements,medium,ast-grep,0.027384,1,0,100.00%
find_case_labels,medium,grep,0.028257,131,32,75.57%
find_case_labels,medium,ast-grep,0.031142,1,0,100.00%
find_goto_statements,medium,grep,0.025179,3,0,100.00%
find_goto_statements,medium,ast-grep,0.032713,1,0,100.00%
find_break_statements,medium,grep,0.023798,115,28,75.65%
find_break_statements,medium,ast-grep,0.028916,1,0,100.00%
find_continue_statements,medium,grep,0.026475,13,3,76.92%
find_continue_statements,medium,ast-grep,0.032603,1,0,100.00%
find_ternary_operators,medium,grep,0.028664,90,22,75.56%
find_ternary_operators,medium,ast-grep,0.030902,1,0,100.00%
find_array_access,medium,grep,0.027882,560,140,75.00%
find_array_access,medium,ast-grep,0.030289,1,0,100.00%
find_address_of,medium,grep,0.026736,943,235,75.08%
find_address_of,medium,ast-grep,0.031391,1,0,100.00%
find_dereference,medium,grep,0.023684,349,87,75.07%
find_dereference,medium,ast-grep,0.027568,1,0,100.00%
find_enum_definitions,medium,grep,0.033161,8,2,75.00%
find_enum_definitions,medium,ast-grep,0.031744,1,0,100.00%
find_union_definitions,medium,grep,0.023909,0,0,0.00%
find_union_definitions,medium,ast-grep,0.030106,1,0,100.00%
find_error_returns,complex,grep,0.029854,3,1,66.67%
find_error_returns,complex,ast-grep,0.030570,1,0,100.00%
find_null_returns,complex,grep,0.031448,5,2,60.00%
find_null_returns,complex,ast-grep,0.031051,1,0,100.00%
find_alloc_check_pattern,complex,grep,0.024979,0,0,0.00%
find_alloc_check_pattern,complex,ast-grep,0.017564,0,0,100.00%
find_string_functions,complex,grep,0.036302,1,0,100.00%
find_string_functions,complex,ast-grep,0.034016,1,0,100.00%
find_memcpy_calls,complex,grep,0.027714,4,1,75.00%
find_memcpy_calls,complex,ast-grep,0.028991,1,0,100.00%
find_memset_calls,complex,grep,0.024885,1,0,100.00%
find_memset_calls,complex,ast-grep,0.030077,1,0,100.00%
find_assert_statements,complex,grep,0.029177,6,2,66.67%
find_assert_statements,complex,ast-grep,0.030849,1,0,100.00%
find_macro_definitions,complex,grep,0.024477,70,28,60.00%
find_macro_definitions,complex,ast-grep,0.027785,1,0,100.00%
find_ifdef_blocks,complex,grep,0.031345,25,10,60.00%
find_ifdef_blocks,complex,ast-grep,0.029070,1,0,100.00%
find_inline_functions,complex,grep,0.028095,0,0,0.00%
find_inline_functions,complex,ast-grep,0.033016,1,0,100.00%
find_extern_declarations,complex,grep,0.031898,21,8,61.90%
find_extern_declarations,complex,ast-grep,0.027821,1,0,100.00%
find_volatile_variables,complex,grep,0.028206,0,0,0.00%
find_volatile_variables,complex,ast-grep,0.031089,1,0,100.00%
find_register_variables,complex,grep,0.026766,1,0,100.00%
find_register_variables,complex,ast-grep,0.026665,1,0,100.00%
find_do_while_loops,complex,grep,0.030418,10,4,60.00%
find_do_while_loops,complex,ast-grep,0.033029,1,0,100.00%
find_variadic_functions,complex,grep,0.025482,34,13,61.76%
find_variadic_functions,complex,ast-grep,0.033802,1,0,100.00%
